,start,end,duration,mean_error,median_error,distance,start_distance,end_distance,distance_traveled
wi933014_61,,,6300.0,,,32905.87933633689,,,
wi933014_38,,,26040.0,,,134713.64776426757,,,
wi933014_57,,,6780.0,,,37209.85944577858,,,
wi933014_13,,,20520.0,,,107025.707588514,,,
wi933014_23,,,112080.0,,,463554.86581859225,,,
wi933014_28,,,24540.0,,,127632.3919906018,,,
wi933014_36,,,56220.0,,,286288.1576595227,,,
wi933014_43,,,6120.0,,,33163.71966614456,,,
wi933014_52,,,7740.0,,,35624.25731292636,,,
wi933014_42,,,28740.0,,,132674.04072564363,,,
wi933014_63,,,7080.0,,,33642.00132867488,,,
wi933014_16,,,26820.0,,,157808.63037837777,,,
wi933014_51,,,8040.0,,,34639.88712058588,,,
wi933014_70,,,5460.0,,,26937.88155327817,,,
wi933014_59,,,8100.0,,,34600.08104207677,,,
wi933014_62,,,6000.0,,,29887.98389408572,,,
wi933014_39,,,37680.0,,,186828.91074168723,,,
wi933014_64,,,7440.0,,,36218.4350730355,,,
wi933014_7,,,50340.0,,,322274.11216184904,,,
wi933014_54,,,7920.0,,,35065.95622947544,,,
wi933014_24,,,24900.0,,,114578.46281151165,,,
wi933014_33,,,24420.0,,,135139.2128242379,,,
wi933014_30,,,28140.0,,,143803.95278542102,,,
wi933014_14,,,45780.0,,,238647.25837689525,,,
wi933014_67,,,7680.0,,,41945.84080532911,,,
wi933014_80,,,127860.0,,,644835.585967539,,,
wi933014_35,,,24960.0,,,129648.10532024316,,,
wi933014_55,,,6660.0,,,30061.817485242766,,,
wi933014_81,,,192480.0,,,1013062.1097775281,,,
wi933014_10,,,31320.0,,,209593.7822876665,,,
wi933014_11,,,54900.0,,,250040.65128142753,,,
wi933014_29,,,28560.0,,,147846.1003646117,,,
wi933014_56,,,7740.0,,,34919.63237041971,,,
wi933014_60,,,7500.0,,,38585.79397551829,,,
wi933014_58,,,8100.0,,,36546.85767167103,,,
wi933014_19,,,27300.0,,,155285.8339011673,,,
wi933014_47,,,7500.0,,,30477.26428275972,,,
wi933014_26,,,24600.0,,,131454.00824499832,,,
wi933014_6,,,243060.0,,,1354147.987880701,,,
wi933014_41,,,38160.0,,,182361.37809045517,,,
wi933014_31,,,28560.0,,,150681.47585685595,,,
wi933014_72,,,8640.0,,,43420.24228030915,,,
wi933014_73,,,8820.0,,,44869.3248552632,,,
wi933014_50,,,7020.0,,,37759.62264789926,,,
ew0007_82,,,84600.0,,,407843.7622929597,,,
wi933014_40,,,60900.0,,,257762.8391154236,,,
wi933014_69,,,5040.0,,,29235.36949546735,,,
wi933014_53,,,7800.0,,,37008.94937280564,,,
wi933014_65,,,8460.0,,,33025.725205152165,,,
wi933014_32,,,34380.0,,,182002.59751849945,,,
wi933014_17,,,33600.0,,,179923.3160413794,,,
wi933014_34,,,27420.0,,,151734.93554152307,,,
wi933014_37,,,29640.0,,,156083.24187579117,,,
wi933014_15,,,18300.0,,,94033.7010418246,,,
wi933014_49,,,7620.0,,,33325.38220568215,,,
wi933014_66,,,9240.0,,,39882.90918916629,,,
wi933014_9,,,210300.0,,,1088191.0409190103,,,
index17_95,,,237180.0,,,1564145.1889538022,,,
wi933014_22,,,21360.0,,,106860.41489339981,,,
ew0114_2,,,73260.0,,,976697.680273634,,,
wi933014_18,,,25560.0,,,117389.96945575213,,,
wi933014_75,,,7980.0,,,42184.340400596535,,,
wi933014_27,,,26460.0,,,141021.23721695808,,,
wi933014_48,,,9540.0,,,42731.34205487481,,,
wi933014_74,,,6660.0,,,34786.69608172202,,,
